"","gene.name","gene.annotation","operon.name","operon.comments","probeset","locbegin","locend"
"464","nrfC","4Fe-4S ferredoxins","nrf","nitrite reduction","nrfC_b4072_st",4287391,4288054
"465","nrfD","NrfD protein","nrf","nitrite reduction","nrfD_b4073_st",4288059,4289011
"466","nrfE","cytochrome c-type biogenesis protein NrfE","nrf","nitrite reduction","nrfE_b4074_st",4289091,4290741
"467","nrfF","cytochrome c-type biogenesis protein NrfF","nrf","nitrite reduction","nrfF_b4075_st",4290750,4291121
"468","nrfG","NrfG protein","nrf","nitrite reduction","nrfG_b4076_st",4291126,4291718
"469","Regulation","pho box","phn","phosphonate utilization",NA,NA,NA
"470","phnC","ATP-binding protein","phn","phosphonate utilization","phnC_b4106_st",4321955,4322743
"471","phnD","periplasmic protein","phn","phosphonate utilization","phnD_b4105_st",4320914,4321930
"472","phnE","phosphonates transport system permease protein PhnE","phn","phosphonate utilization","phnE_b4104_st",4320243,4320859
"473","3998","","phn","phosphonate utilization",NA,NA,NA
"474","phnF","PhnF protein","phn","phosphonate utilization","phnF_b4102_st",4319275,4320000
"475","phnG","PhnG protein","phn","phosphonate utilization","phnG_b4101_st",4318826,4319274
"476","phnH","PhnH protein","phn","phosphonate utilization","phnH_b4100_st",4318242,4318821
"477","phnI","PhnI protein","phn","phosphonate utilization","phnI_b4099_st",4317185,4318240
"478","phnJ","PhnJ protein","phn","phosphonate utilization","phnJ_b4098_st",4316343,4317176
"479","phnK","ATP-binding protein","phn","phosphonate utilization","phnK_b4097_st",4315584,4316338
"480","phnL","ATP-binding protein","phn","phosphonate utilization","phnL_b4096_st",4314797,4315473
"481","phnM","HisM-like integral membrane protein PhnM","phn","phosphonate utilization","phnM_b4095_st",4313661,4314792
"482","phnN","ATP-binding protein","phn","phosphonate utilization","phnN_b4094_st",4313117,4313659
"483","phnO","PhnO protein","phn","phosphonate utilization","phnO_b4093_st",4312682,4313102
"484","phnP","PhnP protien","phn","phosphonate utilization","phnP_b4092_st",4311922,4312680
"485","phnQ","very hypothetical PhnQ protei","phn","phosphonate utilization","phnQ_b4091_st",4311389,4311796
"486","Regulation","terminator","phn","phosphonate utilization",NA,NA,NA
"487","basR","regulator","basRS","two-component system","basR_b4113_st",4330860,4331524
"488","basS","kinase","basRS","two-component system","basS_b4112_st",4329759,4330850
"489","melA","(aga) a-galactosidase (EC 3.2.1.22)","melAB","melibiose uptake","melA_b4119_st",4339489,4340844
"490","melB","thiomethylgalactoside permease II, melibiose carrier","melAB","melibiose uptake","melB_b4120_st",4340959,4342368
"491","Regulation","promoter","cad","lysine decarboxylase",NA,NA,NA
"492","cadB","transport of lysine/cadaverine","cad","lysine decarboxylase","cadB_b4132_st",4356275,4357609
"493","cadA","lysine decarboxylase (EC 4.1.1.18)","cad","lysine decarboxylase","cadA_b4131_st",4354048,4356195
"494","Regulation","heat shock gene promoter","groE","(mop) molecular chaperone",NA,NA,NA
"495","mopB","(groES) GroES protein","groE","(mop) molecular chaperone","mopB_b4142_st",4368266,4368559
"496","mopA","(groEL) GroEL protein","groE","(mop) molecular chaperone","mopA_b4143_st",4368603,4370249
"497","Regulation","terminator","groE","(mop) molecular chaperone",NA,NA,NA
"498","frdA","fumarate reductase (EC 1.3.99.1), flavoprotein subunit","frd","fumarate reductase","frdA_b4154_st",4378096,4379896
"499","frdB","fumarate reductase (EC 1.3.99.1), membrane anchor polypeptide","frd","fumarate reductase","frdB_b4153_st",4377361,4378087
"500","frdC","fumarate reductase (EC 1.3.99.1), membrane anchor polypeptide","frd","fumarate reductase","frdC_b4152_st",4376955,4377350
"501","frdD","fumarate reductase (EC 1.3.99.1), membrane anchor polypeptide","frd","fumarate reductase","frdD_b4151_st",4376585,4376944
"502","yjeF","hypothetical 54.7 kD protein in psd-amib intergenic region","amiB","complex operon","yjeF_b4167_st",4391644,4393162
"503","yjeE","hypothetical 16.9 kD protein in psd-amib intergenic region","amiB","complex operon","yjeE_b4168_st",4393192,4393624
"504","amiB","n-acetylmuramoyl-l-alanine amidase precursor","amiB","complex operon","amiB_b4169_st",4393643,4394980
"505","mutL","DNA mismatch repair protein mutL","amiB","complex operon","mutL_b4170_st",4394990,4396829
"506","miaA","tRNA delta-2-isopentenylpyrophosphate (IPP) transferase","amiB","complex operon","miaA_b4171_st",4396838,4397780
"507","hfq","host factor-I (HF-I)","amiB","complex operon","hfq_b4172_st",4397866,4398174
"508","Regulation","promoter","hflA","high frequency of lysogenization",NA,NA,NA
"509","hflX","putative GTPase","hflA","high frequency of lysogenization","hflX_b4173_st",4398250,4399530
"510","hflK","putative integral membrane protease","hflA","high frequency of lysogenization","hflK_b4174_st",4399616,4400875
"511","hflC","putative integral membrane protease","hflA","high frequency of lysogenization","hflC_b4175_st",4400878,4401882
"512","rpsF","30S ribosomal protein S6","rpsF-rplI","ribosomal protein","rpsF_b4200_st",4422696,4423091
"513","priB","primosomal replication protein N","rpsF-rplI","ribosomal protein","priB_b4201_st",4423098,4423412
"514","rpsR","30S ribosomal protein S18","rpsF-rplI","ribosomal protein","rpsR_b4202_st",4423417,4423644
"515","rplI","SOS ribosomal protein L9","rpsF-rplI","ribosomal protein","rplI_b4203_st",4423686,4424135
"516","chpS","PemI-like protein 2","chpSB","regulation of cell growth","chpS_b4224_st",4446018,4446268
"517","chpB","PemK-like protein 2","chpSB","regulation of cell growth","chpB_b4225_st",4446276,4446619
"518","treB","phosphotransferase system trehalose permease","treBC","trehalose uptake","treB_b4240_st",4462333,4463754
"519","treC","trehalose-6-phosphate hydrolase","treBC","trehalose uptake","treC_b4239_st",4460628,4462283
"520","Regulation","promoter","pyrBI","pyrimidine biosynthesis",NA,NA,NA
"521","pyrB","aspartate carbamoyltransferase (EC 2.1.3.2), catalytic subunit","pyrBI","pyrimidine biosynthesis","pyrB_b4245_st",4469034,4469969
"522","pyrI","aspartate carbamoyltransferase (EC 2.1.3.2), regulatory subunit","pyrBI","pyrimidine biosynthesis","pyrI_b4244_st",4468560,4469021
"523","fecA","iron(III) dicitrate transport protein FecA precursor","fecABCDE","citrate-dependent iron(III) transport","fecA_b4291_st",4511921,4514245
"524","fecB","","fecABCDE","citrate-dependent iron(III) transport","fecB_b4290_st",4510978,4511882
"525","fecC","iron(III) dicitrate transport system permease protein","fecABCDE","citrate-dependent iron(III) transport","fecC_b4289_st",4509983,4510973
"526","fecD","iron(III) dicitrate transport system permease protein","fecABCDE","citrate-dependent iron(III) transport","fecD_b4288_st",4509026,4509978
"527","fecE","iron(III) dicitrate transport ATP-binding protein","fecABCDE","citrate-dependent iron(III) transport","fecE_b4287_st",4508258,4509025
"528","Regulation","CAP binding site","uxuAB","glucuronate pathway",NA,NA,NA
"529","Regulation","promoter","uxuAB","glucuronate pathway",NA,NA,NA
"530","uxuA","mannonate dehydratase","uxuAB","glucuronate pathway","uxuA_b4322_st",4549205,4550389
"531","uxuB","mannonate oxidoreductase","uxuAB","glucuronate pathway","uxuB_b4323_st",4550470,4551930
"532","Regulation","promoter","dnaTC","DNA replication",NA,NA,NA
"533","dnaT","primosomal protein I","dnaTC","DNA replication","dnaT_b4362_st",4598547,4599086
"534","dnaC","DNA replication protein DnaC","dnaTC","DNA replication","dnaC_b4361_st",4597807,4598544
"535","Regulation","promoter","deoAB","nucleotide and deoxyribonucleotide catabolism",NA,NA,NA
"536","deoC","2-deoxyribose 5-phosphate aldolase","deoAB","nucleotide and deoxyribonucleotide catabolism","deoC_b4381_st",4614892,4615671
"537","Regulation","CRP binding sites","deoAB","nucleotide and deoxyribonucleotide catabolism",NA,NA,NA
"538","Regulation","promoter","deoAB","nucleotide and deoxyribonucleotide catabolism",NA,NA,NA
"539","deoA","thymidine phosphorylase (EC 2.4.2.4)","deoAB","nucleotide and deoxyribonucleotide catabolism","deoA_b4382_st",4615798,4617120
"540","deoB","phosphopentomutase (EC 5.4.2.7)","deoAB","nucleotide and deoxyribonucleotide catabolism","deoB_b4383_st",4617172,4618395
"541","deoD","purine nucleoside phosphorylase (EC 2.4.2.1)","deoAB","nucleotide and deoxyribonucleotide catabolism","deoD_b4384_st",4618452,4619171
"542","Regulation","terminator","deoAB","nucleotide and deoxyribonucleotide catabolism",NA,NA,NA
"543","serB","phosphoserine phosphatase","serBsms","phosphatase & DNA repair","serB_b4388_st",4622464,4623432
"544","sms","Sms protein","serBsms","phosphatase & DNA repair","sms_b4389_st",4623481,4624862
"545","creA","","creABCD","phosphate sensor","creA_b4397_st",4633090,4633563
"546","creB","member of the two-component regulatory system CreC/CreB","creABCD","phosphate sensor","creB_b4398_st",4633576,4634264
"547","creC","phoM; protein kinase","creABCD","phosphate sensor","creC_b4399_st",4634266,4635689
"548","creD","inner membrane protein CreD","creABCD","phosphate sensor","creD_b4400_st",4635747,4637099
